Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,HouseAge,RemodelAge,TotalBath
1,60,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,2,TA,PConc,2,No,706,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,2,8,Typ,0,Gd,Attchd,2003,RFn,2,548,5,TA,Y,0,61,0,0,0,0,Not indicated,0,2,2008,WD,Normal,208500,2566,5,5,3.5
2,20,RL,80,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,TA,CBlock,2,Gd,978,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,TA,Attchd,1976,RFn,2,460,5,TA,Y,298,0,0,0,0,0,Not indicated,0,5,2007,WD,Normal,181500,2524,31,31,2.5
3,60,RL,68,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,2,TA,PConc,2,Mn,486,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,2,6,Typ,1,TA,Attchd,2001,RFn,2,608,5,TA,Y,0,42,0,0,0,0,Not indicated,0,9,2008,WD,Normal,223500,2706,7,6,3.5
4,70,RL,60,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0,3,TA,BrkTil,4,No,216,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,2,7,Typ,1,Gd,Detchd,1998,Unf,3,642,5,TA,Y,0,35,272,0,0,0,Not indicated,0,2,2006,WD,Abnorml,140000,2473,91,36,2.0
5,60,RL,84,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,2,TA,PConc,2,Av,655,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,2,9,Typ,1,TA,Attchd,2000,RFn,3,836,5,TA,Y,192,84,0,0,0,0,Not indicated,0,12,2008,WD,Normal,250000,3343,8,8,3.5
6,50,RL,85,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,TA,Wood,2,No,732,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,Gd,Attchd,1993,Unf,2,480,5,TA,Y,40,30,0,320,0,0,MnPrv,700,10,2009,WD,Normal,143000,2158,16,14,2.5
7,20,RL,75,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,2,TA,PConc,0,Av,1369,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,2,7,Typ,1,Gd,Attchd,2004,RFn,2,636,5,TA,Y,255,57,0,0,0,0,Not indicated,0,8,2007,WD,Normal,307000,3380,3,2,3.0
8,60,RL,70,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,TA,CBlock,2,Mn,859,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,TA,Attchd,1973,RFn,2,484,5,TA,Y,235,204,228,0,0,0,Not indicated,350,11,2009,WD,Normal,200000,3197,36,36,3.5
9,50,RM,51,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0,3,TA,BrkTil,4,No,0,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,TA,Detchd,1931,Unf,2,468,1,TA,Y,90,0,205,0,0,0,Not indicated,0,4,2008,WD,Abnorml,129900,2726,77,58,2.0
10,190,RL,50,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,TA,BrkTil,4,No,851,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,TA,Attchd,1939,RFn,1,205,2,TA,Y,0,4,0,0,0,0,Not indicated,0,1,2008,WD,Normal,118000,2068,69,58,2.0
11,20,RL,70,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,BrkFace,0,3,TA,CBlock,4,No,906,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,Gd,Detchd,1965,Unf,1,384,5,TA,Y,0,0,0,0,0,0,Not indicated,0,2,2008,WD,Normal,129500,2080,43,43,2.0
12,60,RL,85,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,0,TA,PConc,0,No,998,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,0,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,5,TA,Y,147,21,0,0,0,0,Not indicated,0,7,2006,New,Partial,345000,3499,1,0,4.0
13,20,RL,70,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,BrkFace,0,3,TA,CBlock,4,No,737,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,Gd,Detchd,1962,Unf,1,352,5,TA,Y,140,0,0,0,176,0,Not indicated,0,9,2008,WD,Normal,144000,1824,46,46,2.0
