Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap
BTC-USD,Bitcoin USD,"68,571.42",6:03PM UTC,"+1,187.45",+1.76%,23.346B,1.353T
ETH-USD,Ethereum USD,"3,261.70",6:02PM UTC,+12.60,+0.39%,12.063B,392.149B
SOL-USD,Solana USD,180.93,6:02PM UTC,-0.87,-0.48%,2.456B,84.083B
BTC-CAD,Bitcoin CAD,"94,830.84",6:03PM UTC,"+1,642.18",+1.76%,32.286B,1.871T
DOGE-USD,Dogecoin USD,0.132373,6:03PM UTC,+0.000728,+0.55%,760.465M,19.232B
NFLX,"Netflix, Inc.",631.37,4:00PM EDT,-2.72,-0.43%,3.098M,270.962B
XRP-USD,XRP USD,0.595662,6:03PM UTC,+0.000213,+0.04%,881.56M,33.334B
ENB,Enbridge Inc.,36.66,4:00PM EDT,+0.33,+0.91%,2.377M,78.025B
BTC-EUR,Bitcoin EUR,"63,074.46",6:03PM UTC,"+1,092.26",+1.76%,21.474B,1.245T
SHIB-USD,Shiba Inu USD,0.000017,6:02PM UTC,+0.000000,+2.00%,203.755M,10.06B
ADA-USD,Cardano USD,0.423508,6:02PM UTC,+0.008653,+2.09%,230.773M,15.206B
SOL-CAD,Solana CAD,250.22,6:03PM UTC,-1.20,-0.48%,3.397B,116.282B
ETH-CAD,Ethereum CAD,"4,510.77",6:03PM UTC,+17.42,+0.39%,16.683B,542.322B
JASMY-USD,JasmyCoin USD,0.031924,5:59PM UTC,+0.002469,+8.38%,167.922M,1.574B
PEPE24478-USD,Pepe USD,0.000012,5:58PM UTC,+0.000000,+0.13%,579.156M,5.01B
LINE,"Lineage, Inc.",82.88,4:00PM EDT,+2.10,+2.60%,4.809M,19.369B
ABT,Abbott Laboratories,105.24,4:00PM EDT,-0.72,-0.68%,8.472M,183.079B
XRP-CAD,XRP CAD,0.823770,6:03PM UTC,+0.000294,+0.04%,1.219B,46.099B
VFIAX,Vanguard 500 Index Fund,503.99,8:01PM EDT,+5.56,+1.12%,,
O,Realty Income Corporation,58.07,4:00PM EDT,+0.71,+1.24%,2.458M,50.566B
NIPG,NIP Group Inc. American Depositary Shares,9.02,4:00PM EDT,+0.02,+0.22%,1.067M,505.622M
VTSAX,Vanguard Total Stock Mkt Idx Adm,131.27,8:01PM EDT,+1.52,+1.17%,,1.112T
^NSEI,NIFTY 50,"24,834.85",3:32PM IST,+428.75,+1.76%,0,
PM,Philip Morris International Inc.,113.36,4:00PM EDT,+0.16,+0.14%,5.331M,176.252B
SAVA,"Cassava Sciences, Inc.",14.92,4:00PM EDT,+2.17,+17.02%,3.652M,715.805M
FXAIX,Fidelity 500 Index,189.67,8:01PM EDT,+2.09,+1.11%,,
ARCC,Ares Capital Corporation,20.95,4:00PM EDT,+0.18,+0.87%,2.12M,12.874B
MPW,"Medical Properties Trust, Inc.",5.31,4:00PM EDT,+0.11,+2.12%,10.162M,3.187B
BX,Blackstone Inc.,142.00,4:00PM EDT,+1.98,+1.41%,2.635M,173.79B
VALE,Vale S.A.,10.86,4:00PM EDT,+0.16,+1.50%,24.677M,46.382B
